0,CAR,Filipino
1,CAR,English
2,CAR,Ilocano
3,NCR,Tagalog
4,NCR,Bisaya
5,NCR,Ilocano
6,Region-I,Filipino
7,Region-I,Ilocano
8,Region-I,Pangasinan
9,Region-II,Ilocano
10,Region-II,Ybanag
11,Region-II,Ytawes
12,Region-II,Ivatan
13,Region-II,Filipino
14,Revion-III,Tagalog
15,Revion-III,English
16,Revion-III,Ilocano
17,Revion-III,Kapampangan
18,Revion-III,Pangasinan
19,Revion-III,Sambal
20,Region-IVA,Tagalog
21,Region-IVA,Bisaya
22,Region-IVA,Bikol/Bicolano
23,Region-IVB,Romblomanon
24,Region-IVB,Asi
25,Region-IVB,Onhan
26,Region-V,EastMiraya
27,Region-V,WestMiraya
28,Region-V,Canaman
29,Region-V,NorthernSorsogon
30,Region-V,SouthernSorsogon
31,Region-V,Buhinon
32,Region-V,Libon
33,Region-V,Rinconada
34,Region-V,Partido
35,Region-V,CentralStandardBikol
36,Region-VI,Hiligaynon
37,Region-VI,Kinaray-a
38,Region-VI,Aklanon
39,Region-VI,Capiznon
40,Region-VII,Cebuano
41,Region-VII,Bantayanon
42,Region-VII,Boholano
43,Region-VII,Porohanon
44,Region-VIII,Waray-Waray
45,Region-VIII,Bisaya
46,Region-IX,Bisaya
47,Region-IX,Subanen
48,Region-X,MindanaoHiligaynon
49,Region-X,Boholano
50,Region-XI,Cebuano
51,Region-XI,Ilonggo
52,Region-XI,Ilokano
53,Region-XI,Tagalog
54,Region-XII,Cebuano/Bisaya
55,Region-XII,Maguindanaoan
56,Region-XII,Ilonggo/Hiligaynon
57,Region-XII,Manobo
58,Region-XII,Tagalog
59,Region-XIII,Caraga
60,Region-XIII,Cebuano
61,Region-XIII,Bisaya/Binisaya
62,Region-XIII,Surigaonon
63,Region-XIII,Kamayo
64,Region-XIII,Manobo
