0,CAR,Anya Ngay,
1,CAR,Gawis ay wakgat,
2,CAR,Khawis ay wi-it,
3,CAR,Khawis ay akhew,
4,CAR,Na'piya nga pagmaat mu wahi,
5,CAR,Mapteng ja omsiyang.,
6,CAR,maphod ad nawi-it,
7,Region-I,Akin,
8,Region-I,Antoy ngaran mo,
9,Region-I,Antoy siram,
10,Region-I,Iner ka unla,
11,Region-I,Narasan ka la,
12,Region-I,Natsawan ak la,
13,Region-I,Balbaleg ya abong,
14,Region-I,Ampetang so sangim,
15,Region-I,Matalker so tenger to,
16,Region-I,Singa kinaykay na manok,
17,Region-I,Anya ti nagan mo?,
18,Region-I,Kablaaw,
19,Region-I,Naimbag nga bigat,
20,Region-I,Naimbag nga malem,
21,Region-I,Naimbag nga rabi-i!,
22,Region-I,Awan anyaman,
23,Region-I,Mangan tayon!,
24,Region-I,Mabisinakon,
25,Region-I,Nanganakon,
26,Region-I,Agsubli ak,
27,Region-I,Awan tawar na,
28,Region-I,Anya ngay,
29,Region-XII,kuta wato, stone fort
30,Region-XII,manuroy ta!, Let's go somewhere
31,Region-XIII,dinhi niini na dagat, here from the bountiful waters.
32,Region-XIII,Marajaw na buntag,Good Morning
33,Region-XIII,Sin-o imo ngayan?,What's your name?
34,Region-XIII,Mangaon ta!, Let's Eat
35,Region-XIII,Salamat Karajaw, 'Thank you very much
