CAR,Ilocano,29.36
CAR,Ibaloi,14.43
CAR,Kalinga,8.46
CAR,Others,18.3
NCR,Tagalog,56.09
NCR,Bisaya,13.30
NCR,Bikol/Bicol,7.53
NCR,Ilocano,5.69
NCR,Waray,4.20
NCR,Ilonggo,4.01
NCR,Pangasinan,1.65
NCR,Kapampangan,1.46
NCR,Cebuano,1.20
NCR,Maranao,0.61
NCR,Chinese,0.49
NCR,Others,3.76
Region-I,Ilocano,66
Region-I,Pangasinense,27
Region-I,Tagalog,3
Region-I,Others,4
Region-IVA,Tagalog,74.4
Region-IVA,Bisaya,7.5
Region-IVA,Bicolano,5.5
Region-IVA,Others,12.6
Region-VI,Hiligaynon,67.6
Region-VI,Capiznon,9.6
Region-VI,Kinaray-a and Akeanon,6.9
Region-VI,Others,15.9
Region-VII,Cebuano,61.4
Region-VII,Bisaya,19.3
Region-VII,Boholano,16.2
Region-VII,Others,3.1
Region-VIII,Waray,64.2
Region-VIII,Bisaya,32.2
Region-VIII,Cebuano,2
Region-VIII,Others,1.6
Region-IX,Bisaya,41.7
Region-IX,Subanen,16.3
Region-IX,Chavacano,10.7
Region-IX,Others,31.3
Region-XII,Hilagaynon/Illonggo,38.0
Region-XII,Maguindanaon,26.0
Region-XII,Ilocano,12.8
Region-XII,Cebuano,7.8
Region-XII,Other,15.0
Region-XIII,Cebuano,33.79
Region-XIII,Surigaonon,33.21
Region-XIII,Butuanon,15
Region-XIII,Kamayo,7.06
Region-XIII,Hiligayon,2.87
Region-XIII,Manobo,4.73
Region-XIII,Other,3.34
